State	Result	Percent	P total
WY	21822	12.18	179175
WV	123833	16.94	731019
WI	636835	14.46	4404543
WA	788329	11.66	6759932
VT	13882	8.59	161531
VA	744086	12.24	6080481
UT	229274	8.86	2586492
TX	4118608	16.93	24321465
TN	771605	16.92	4560050
SD	33477	11.28	296690
SC	810651	19.25	4212170
RI	130130	12.92	1007359
PA	2096449	17.74	11818329
OR	462746	12.75	3630628
OK	379879	15.65	2426888
OH	1592051	16.32	9756400
NY	2715841	14.49	18741516
NV	392747	15.05	2609280
NM	414356	25.14	1647905
NJ	1149545	12.85	8944469
NH	129118	11.21	1151684
NE	115275	11.05	1043655
ND	43371	10.55	411029
NC	1472148	18.00	8180205
MT	86337	13.79	626188
MS	285733	21.59	1323725
MO	597083	14.42	4139912
MN	415340	10.65	3900509
MI	1313337	15.51	8469754
ME	142261	15.10	942037
MD	712023	12.41	5738605
MA	852138	12.56	6783525
LA	694307	20.44	3396087
KY	311556	14.33	2173786
KS	248937	14.00	1778435
IN	780140	16.40	4758281
IL	1565394	14.24	10989736
ID	150757	13.83	1090160
IA	213912	13.18	1622601
HI	192191	13.45	1428462
GA	1133775	14.52	7810581
FL	2796446	14.00	19970450
DE	137178	14.41	952065
DC	120223	17.65	681170
CT	450531	12.60	3576452
CO	430787	9.06	4755954
CA	5068428	13.08	38745526
AZ	1459910	21.58	6764001
AR	313980	18.77	1673132
AL	711565	19.60	3630681
AK	50069	9.95	503162
